"timestamp","value"
2021-10-13 10:02:00,52.9
2021-10-13 10:02:10,52.9
2021-10-13 10:02:20,52.9
2021-10-13 10:02:30,52.9
2021-10-13 10:02:40,52.9
2021-10-13 10:02:50,52.9
2021-10-13 10:03:00,52.9
2021-10-13 10:03:10,52.8
2021-10-13 10:03:20,52.9
2021-10-13 10:03:30,52.9
2021-10-13 10:03:40,52.9
2021-10-13 10:03:50,52.9
2021-10-13 10:04:00,52.9
2021-10-13 10:04:10,52.9
2021-10-13 10:04:20,52.9
2021-10-13 10:04:30,52.9
2021-10-13 10:04:40,53.0
2021-10-13 10:04:50,53.0
2021-10-13 10:05:00,52.9
2021-10-13 10:05:10,52.9
2021-10-13 10:05:20,53.0
2021-10-13 10:05:30,53.0
2021-10-13 10:05:40,53.0
2021-10-13 10:05:50,53.0
2021-10-13 10:06:00,52.9
2021-10-13 10:06:10,53.0
2021-10-13 10:06:20,53.1
2021-10-13 10:06:30,53.0
2021-10-13 10:06:40,53.0
2021-10-13 10:06:50,53.0
2021-10-13 10:07:00,53.1
2021-10-13 10:07:10,53.0
2021-10-13 10:07:20,53.0
2021-10-13 10:07:30,53.0
2021-10-13 10:07:40,53.1
2021-10-13 10:07:50,53.1
2021-10-13 10:08:00,53.0
2021-10-13 10:08:10,53.0
2021-10-13 10:08:20,53.0
2021-10-13 10:08:30,53.0
2021-10-13 10:08:40,53.0
2021-10-13 10:08:50,53.0
2021-10-13 10:09:00,53.0
2021-10-13 10:09:10,53.0
2021-10-13 10:09:20,53.0
2021-10-13 10:09:30,53.0
2021-10-13 10:09:40,53.0
2021-10-13 10:09:50,53.0
2021-10-13 10:10:00,53.0
2021-10-13 10:10:10,53.0
2021-10-13 10:10:20,53.0
2021-10-13 10:10:30,53.0
2021-10-13 10:10:40,53.0
2021-10-13 10:10:50,53.0
2021-10-13 10:11:00,53.0
2021-10-13 10:11:10,53.0
2021-10-13 10:11:20,53.1
2021-10-13 10:11:30,53.0
2021-10-13 10:11:40,53.0
2021-10-13 10:11:50,53.0
2021-10-13 10:12:00,53.0
2021-10-13 10:12:10,53.0
2021-10-13 10:12:20,53.0
2021-10-13 10:12:30,53.0
2021-10-13 10:12:40,53.0
2021-10-13 10:12:50,53.0
2021-10-13 10:13:00,53.0
2021-10-13 10:13:10,53.0
2021-10-13 10:13:20,53.0
2021-10-13 10:13:30,53.0
2021-10-13 10:13:40,53.0
2021-10-13 10:13:50,53.0
2021-10-13 10:14:00,53.0
2021-10-13 10:14:10,53.0
2021-10-13 10:14:20,53.0
2021-10-13 10:14:30,53.0
2021-10-13 10:14:40,53.0
2021-10-13 10:14:50,53.0
2021-10-13 10:15:00,53.0
2021-10-13 10:15:10,52.9
2021-10-13 10:15:20,53.0
2021-10-13 10:15:30,53.0
2021-10-13 10:15:40,53.0
2021-10-13 10:15:50,53.0
2021-10-13 10:16:00,52.9
2021-10-13 10:16:10,53.0
2021-10-13 10:16:20,53.1
2021-10-13 10:16:30,53.0
2021-10-13 10:16:40,53.0
2021-10-13 10:16:50,53.0
2021-10-13 10:17:00,53.0
2021-10-13 10:17:10,53.0
2021-10-13 10:17:20,53.0
2021-10-13 10:17:30,53.0
2021-10-13 10:17:40,53.0
2021-10-13 10:17:50,53.0
2021-10-13 10:18:00,53.0
2021-10-13 10:18:10,53.0
2021-10-13 10:18:20,53.0
2021-10-13 10:18:30,53.0
2021-10-13 10:18:40,53.0
2021-10-13 10:18:50,52.9
2021-10-13 10:19:00,53.0
2021-10-13 10:19:10,53.1
2021-10-13 10:19:20,53.0
2021-10-13 10:19:30,53.0
2021-10-13 10:19:40,53.0
2021-10-13 10:19:50,53.0
2021-10-13 10:20:00,53.0
2021-10-13 10:20:10,53.0
2021-10-13 10:20:20,53.0
2021-10-13 10:20:30,53.0
2021-10-13 10:20:40,53.0
2021-10-13 10:20:50,53.0
2021-10-13 10:21:00,53.0
2021-10-13 10:21:10,53.0
2021-10-13 10:21:20,53.0
2021-10-13 10:21:30,53.0
2021-10-13 10:21:40,53.0
2021-10-13 10:21:50,53.0
2021-10-13 10:22:00,52.9
2021-10-13 10:22:10,53.0
2021-10-13 10:22:20,53.0
2021-10-13 10:22:30,53.0
2021-10-13 10:22:40,53.0
2021-10-13 10:22:50,53.0
2021-10-13 10:23:00,53.0
2021-10-13 10:23:10,53.0
2021-10-13 10:23:20,53.0
2021-10-13 10:23:30,53.0
2021-10-13 10:23:40,53.0
2021-10-13 10:23:50,53.0
2021-10-13 10:24:00,53.0
2021-10-13 10:24:10,53.0
2021-10-13 10:24:20,53.0
2021-10-13 10:24:30,53.0
2021-10-13 10:24:40,53.0
2021-10-13 10:24:50,53.0
2021-10-13 10:25:00,53.0
2021-10-13 10:25:10,53.0
2021-10-13 10:25:20,53.0
2021-10-13 10:25:30,53.0
2021-10-13 10:25:40,53.0
2021-10-13 10:25:50,53.0
2021-10-13 10:26:00,53.0
2021-10-13 10:26:10,53.0
2021-10-13 10:26:20,53.1
2021-10-13 10:26:30,53.0
2021-10-13 10:26:40,53.0
2021-10-13 10:26:50,53.1
2021-10-13 10:27:00,53.0
2021-10-13 10:27:10,53.0
2021-10-13 10:27:20,53.0
2021-10-13 10:27:30,53.0
2021-10-13 10:27:40,53.0
2021-10-13 10:27:50,53.0
2021-10-13 10:28:00,53.0
2021-10-13 10:28:10,53.0
2021-10-13 10:28:20,53.0
2021-10-13 10:28:30,53.0
2021-10-13 10:28:40,53.0
2021-10-13 10:28:50,53.0
2021-10-13 10:29:00,53.0
2021-10-13 10:29:10,53.1
2021-10-13 10:29:20,53.0
2021-10-13 10:29:30,52.9
2021-10-13 10:29:40,53.0
2021-10-13 10:29:50,53.0
2021-10-13 10:30:00,53.1
2021-10-13 10:30:10,53.0
2021-10-13 10:30:20,53.0
2021-10-13 10:30:30,53.0
2021-10-13 10:30:40,53.0
2021-10-13 10:30:50,53.0
2021-10-13 10:31:00,53.0
2021-10-13 10:31:10,53.0
2021-10-13 10:31:20,53.0
2021-10-13 10:31:30,53.0
2021-10-13 10:31:40,53.0
2021-10-13 10:31:50,53.0
2021-10-13 10:32:00,53.0
2021-10-13 10:32:10,53.1
2021-10-13 10:32:20,53.1
2021-10-13 10:32:30,53.0
2021-10-13 10:32:40,53.0
2021-10-13 10:32:50,53.0
2021-10-13 10:33:00,52.9
2021-10-13 10:33:10,53.0
2021-10-13 10:33:20,53.1
2021-10-13 10:33:30,53.1
2021-10-13 10:33:40,53.0
2021-10-13 10:33:50,53.0
2021-10-13 10:34:00,53.0
2021-10-13 10:34:10,53.1
2021-10-13 10:34:20,53.0
2021-10-13 10:34:30,53
2021-10-13 10:34:40,53.0
2021-10-13 10:34:50,53.0
2021-10-13 10:35:00,53.0
2021-10-13 10:35:10,53.0
2021-10-13 10:35:20,53.0
2021-10-13 10:35:30,53.0
2021-10-13 10:35:40,53.0
2021-10-13 10:35:50,53.0
2021-10-13 10:36:00,52.9
2021-10-13 10:36:10,53.0
2021-10-13 10:36:20,53.0
2021-10-13 10:36:30,53.1
2021-10-13 10:36:40,53.0
2021-10-13 10:36:50,53.0
2021-10-13 10:37:00,53.0
2021-10-13 10:37:10,53.0
2021-10-13 10:37:20,53.0
2021-10-13 10:37:30,53.0
2021-10-13 10:37:40,53.0
2021-10-13 10:37:50,53.0
2021-10-13 10:38:00,53.0
2021-10-13 10:38:10,52.9
2021-10-13 10:38:20,53.0
2021-10-13 10:38:30,53.0
2021-10-13 10:38:40,53.0
2021-10-13 10:38:50,53.0
2021-10-13 10:39:00,53.0
2021-10-13 10:39:10,53.0
2021-10-13 10:39:20,53.0
2021-10-13 10:39:30,52.9
2021-10-13 10:39:40,53.0
2021-10-13 10:39:50,52.8
2021-10-13 10:40:00,52.1
2021-10-13 10:40:10,52.5
2021-10-13 10:40:20,52.8
2021-10-13 10:40:30,52.8
2021-10-13 10:40:40,52.9
2021-10-13 10:40:50,52.9
2021-10-13 10:41:00,52.9
2021-10-13 10:41:10,52.9
2021-10-13 10:41:20,53.0
2021-10-13 10:41:30,52.9
2021-10-13 10:41:40,53.0
2021-10-13 10:41:50,53.0
2021-10-13 10:42:00,52.9
2021-10-13 10:42:10,53.0
2021-10-13 10:42:20,53.0
2021-10-13 10:42:30,53.1
2021-10-13 10:42:40,52.9
2021-10-13 10:42:50,53.0
2021-10-13 10:43:00,53.0
2021-10-13 10:43:10,53.0
2021-10-13 10:43:20,52.9
2021-10-13 10:43:30,53.0
2021-10-13 10:43:40,53.0
2021-10-13 10:43:50,53.0
2021-10-13 10:44:00,53.0
2021-10-13 10:44:10,52.8
2021-10-13 10:44:20,52.3
2021-10-13 10:44:30,52.0
2021-10-13 10:44:40,51.9
2021-10-13 10:44:50,51.6
2021-10-13 10:45:00,51.1
2021-10-13 10:45:10,50.6
2021-10-13 10:45:20,50.2
2021-10-13 10:45:30,50.0
2021-10-13 10:45:40,49.9
2021-10-13 10:45:50,49.8
2021-10-13 10:46:00,49.3
2021-10-13 10:46:10,49.0
