timestamp,solar_irradiance,solar_irradiance_forecast
2025-02-24 00:20:00+07:00,0.011,0.0
2025-02-24 00:30:00+07:00,0.012,0.0
2025-02-24 00:40:00+07:00,0.01,0.0
2025-02-24 00:50:00+07:00,0.012,0.0
2025-02-24 01:00:00+07:00,0.014,0.0
2025-02-24 01:10:00+07:00,0.012,0.0
2025-02-24 01:20:00+07:00,0.009,0.0
2025-02-24 01:30:00+07:00,0.007,0.0
2025-02-24 01:40:00+07:00,0.005,0.0
2025-02-24 01:50:00+07:00,0.012,0.0
2025-02-24 02:00:00+07:00,0.01,0.0
2025-02-24 02:10:00+07:00,0.013,0.0
2025-02-24 02:20:00+07:00,0.011,0.0
2025-02-24 02:30:00+07:00,0.011,0.0
2025-02-24 02:40:00+07:00,0.012,0.0
2025-02-24 02:50:00+07:00,0.017,0.0
2025-02-24 03:00:00+07:00,0.014,0.0
2025-02-24 03:10:00+07:00,0.008,0.0
2025-02-24 03:20:00+07:00,0.011,0.0
2025-02-24 03:30:00+07:00,0.012,0.0
2025-02-24 03:40:00+07:00,0.01,0.0
2025-02-24 03:50:00+07:00,0.006,0.0
2025-02-24 04:00:00+07:00,0.004,0.0
2025-02-24 04:10:00+07:00,0.005,0.0
2025-02-24 04:20:00+07:00,0.005,0.0
2025-02-24 04:30:00+07:00,0.008,0.0
2025-02-24 04:40:00+07:00,0.011,0.0
2025-02-24 04:50:00+07:00,0.012,0.0
2025-02-24 05:00:00+07:00,0.01,0.0
2025-02-24 05:10:00+07:00,0.003,0.0
2025-02-24 05:20:00+07:00,0.005,0.0
2025-02-24 05:30:00+07:00,0.006,0.0
2025-02-24 05:40:00+07:00,0.006,0.0
2025-02-24 05:50:00+07:00,0.006,0.0
2025-02-24 06:00:00+07:00,0.006,0.0
2025-02-24 06:10:00+07:00,0.004,0.0
2025-02-24 06:20:00+07:00,0.022,0.0
2025-02-24 06:30:00+07:00,0.298,0.0
2025-02-24 06:40:00+07:00,1.834,0.0
2025-02-24 06:50:00+07:00,6.448,0.0
2025-02-24 07:00:00+07:00,9.514,79.0
2025-02-24 07:10:00+07:00,14.002,79.0
2025-02-24 07:20:00+07:00,13.106,79.0
2025-02-24 07:30:00+07:00,15.976,79.0
2025-02-24 07:40:00+07:00,33.772,79.0
2025-02-24 07:50:00+07:00,45.788,79.0
2025-02-24 08:00:00+07:00,61.813,286.0
2025-02-24 08:10:00+07:00,53.664,286.0
2025-02-24 08:20:00+07:00,109.529,286.0
2025-02-24 08:30:00+07:00,245.489,286.0
2025-02-24 08:40:00+07:00,266.363,286.0
2025-02-24 08:50:00+07:00,274.913,286.0
2025-02-24 09:00:00+07:00,222.152,395.0
2025-02-24 09:10:00+07:00,234.899,395.0
2025-02-24 09:20:00+07:00,302.576,395.0
2025-02-24 09:30:00+07:00,249.707,395.0
2025-02-24 09:40:00+07:00,347.48,395.0
2025-02-24 09:50:00+07:00,252.767,395.0
2025-02-24 10:00:00+07:00,308.444,436.0
2025-02-24 10:10:00+07:00,458.308,436.0
2025-02-24 10:20:00+07:00,624.782,436.0
2025-02-24 10:30:00+07:00,619.487,436.0
2025-02-24 10:40:00+07:00,603.442,436.0
2025-02-24 10:50:00+07:00,548.286,436.0
2025-02-24 11:00:00+07:00,543.708,314.0
2025-02-24 11:10:00+07:00,481.717,314.0
2025-02-24 11:20:00+07:00,665.272,314.0
2025-02-24 11:30:00+07:00,614.371,314.0
2025-02-24 11:40:00+07:00,400.134,314.0
2025-02-24 11:50:00+07:00,329.84,314.0
2025-02-24 12:00:00+07:00,421.523,98.0
2025-02-24 12:10:00+07:00,470.316,98.0
2025-02-24 12:20:00+07:00,696.627,98.0
2025-02-24 12:30:00+07:00,706.433,98.0
2025-02-24 12:40:00+07:00,635.799,98.0
2025-02-24 12:50:00+07:00,621.025,98.0
2025-02-24 13:00:00+07:00,761.941,129.0
2025-02-24 13:10:00+07:00,654.022,129.0
2025-02-24 13:20:00+07:00,758.863,129.0
2025-02-24 13:30:00+07:00,756.752,129.0
2025-02-24 13:40:00+07:00,721.713,129.0
2025-02-24 13:50:00+07:00,407.906,129.0
2025-02-24 14:00:00+07:00,727.216,444.0
2025-02-24 14:10:00+07:00,515.891,444.0
2025-02-24 14:20:00+07:00,608.223,444.0
