timestamp,solar_irradiance,0_solar_irradiance_forecast,1_solar_irradiance_forecast,2_solar_irradiance_forecast,3_solar_irradiance_forecast,4_solar_irradiance_forecast,5_solar_irradiance_forecast
2025-02-18 00:00:00+07:00,0.004,0.002685515218084687,0.002741764993766077,0.003258897219826738,0.005867545315731478,0.005864358206110781,0.003249342790455555
2025-02-18 00:10:00+07:00,0.005,0.004865169532789585,0.005154947663022709,0.007760092389882885,0.007753411468438373,0.005134908690802119,0.005128169165196593
2025-02-18 00:20:00+07:00,0.008,0.005111997411451312,0.007343643569982186,0.007337726280876499,0.0047199908955094915,0.0047140173454184794,0.0031368505190958046
2025-02-18 00:30:00+07:00,0.004,0.010238202995219254,0.0073548262216298795,0.004737019517233011,0.004731014531389625,0.0031538163267350898,0.004188477538427896
2025-02-18 00:40:00+07:00,0.006,-0.0006459526293202114,0.0006036435761326354,0.0006053224917774305,-0.00096425931565907,7.800423352029913e-05,0.0006419908865870768
2025-02-18 00:50:00+07:00,0.001,0.010826275975590858,0.00898929970766584,0.007404215142093543,0.008431029736226545,0.008979595954017297,0.008965949178650763
2025-02-18 01:00:00+07:00,0.001,-0.006309074649386347,-0.005422542175102391,-0.004372014420942833,-0.0037998126342981197,-0.003789867473672346,-0.004820522747987418
2025-02-18 01:10:00+07:00,0.001,0.006370515160312777,0.006138127033361035,0.006690908702892234,0.006681487050010791,0.005631500714796599,0.006652075448446186
2025-02-18 01:20:00+07:00,0.001,-0.0029536062370846463,-0.002030944993162878,-0.0020242604341161466,-0.003058175177673441,-0.0020215585218932458,-0.002535252087333068
2025-02-18 01:30:00+07:00,0.0,0.003959409096637707,0.002750116081864538,0.001707370736254304,0.0027351897665334134,0.0022127148165422984,0.001679777187602991
2025-02-18 01:40:00+07:00,0.004,-0.002944255824334979,-0.002359940205181884,-0.00132459018154136,-0.0018395704134781003,-0.0023650271599408375,-0.001828998980805663
2025-02-18 01:50:00+07:00,0.001,0.009114655840876876,0.00929394391950375,0.008759349367027047,0.008214326062922342,0.008730823805860185,0.00819635489815891
2025-02-18 02:00:00+07:00,0.001,-0.004994131987681269,-0.005709541822391435,-0.0062278571238878104,-0.005684697813668279,-0.006192554373779821,-0.006700426907607358
2025-02-18 02:10:00+07:00,0.002,0.005434743250175973,0.005842296629328415,0.006363186451170544,0.0058330884144652565,0.0053030154640092185,0.00634419211555633
2025-02-18 02:20:00+07:00,0.002,-0.0005788892520195285,-0.0006359629062213499,-0.0011531480476917487,-0.001670323778068224,-0.0006162737159939565,-0.0006447064802102355
2025-02-18 02:30:00+07:00,0.001,0.003935112526484865,0.0035159953216439953,0.0029902014075533015,0.00403564772154328,0.003998627092557116,0.00295256792512928
2025-02-18 02:40:00+07:00,0.002,-0.0012054407802261457,-0.001196828972523839,-0.00014364574907570443,-0.00017295102707849308,-0.0012113090866416572,-0.00066787493822866
2025-02-18 02:50:00+07:00,0.002,0.0043589643657521585,0.005365039637543998,0.005325564323003099,0.004277055510281435,0.00481035764473008,0.0048024531528367675
2025-02-18 03:00:00+07:00,0.002,0.0002841590526796679,-0.0010531662220273465,-0.0020899174188729014,-0.0015448612802905614,-0.0015410334672763429,-0.0015372404608042568
2025-02-18 03:10:00+07:00,0.002,0.0032723607744292015,0.004025477311078596,0.004559268762687495,0.004551827803037605,0.004544372840395494,0.004027117734724923
2025-02-18 03:20:00+07:00,0.003,0.001008163390968738,0.0004701677684729211,0.0004702607473086858,0.0004703407242530423,-3.939335223606912e-05,0.0009592473246762019
2025-02-18 03:30:00+07:00,0.004,0.004496613959009882,0.005238447560482973,0.005229735405568654,0.0047112150588894805,0.005701085686015398,0.005203601005064787
2025-02-18 03:40:00+07:00,0.003,0.003623390336882842,0.002608980982971764,0.0020952848242119194,0.0030899846937069253,0.0025973203396950913,0.0025935083889257683
2025-02-18 03:50:00+07:00,0.003,0.002530901497268812,0.00337254643511459,0.0043649071208804935,0.003869889145276269,0.003863727918200495,0.004377774867745293
2025-02-18 04:00:00+07:00,0.004,0.0033223362909819637,0.00314847554922106,0.0026556870737665956,0.0026517673730129766,0.003168051710572219,0.002113104649985291
2025-02-18 04:10:00+07:00,0.001,0.004538566298750973,0.004325275203329651,0.004318277195187021,0.0048314850058825826,0.0037734670980370203,0.004817441287216751
2025-02-18 04:20:00+07:00,0.002,-0.0016541309718816379,-0.0014026133433521176,-0.0008788408287542012,-0.0019263169623087197,-0.0008718204598472496,-0.0019192886972513668
2025-02-18 04:30:00+07:00,0.002,0.004713668966053461,0.004892053217061135,0.003833918871598723,0.004877781461446453,0.00381969894251507,0.004863594693859827
2025-02-18 04:40:00+07:00,0.001,-6.080237985191771e-07,-0.0012729814066058524,-0.00021969411161648698,-0.001268366232780256,-0.0002150774561549794,-0.0007435403013299418
2025-02-18 04:50:00+07:00,0.001,0.0017002550136850786,0.004402677061249784,0.003345494528774591,0.004390265703703154,0.003853300981442181,0.003316333890371145
2025-02-18 05:00:00+07:00,0.0,0.0005195145568826077,-0.004112317742378227,-0.0030538283494161195,-0.0035770506047254538,-0.0041003005994371886,-0.004082280656404078
2025-02-18 05:10:00+07:00,0.001,-0.0004284066235326118,0.006794274833671894,0.0062529575024975045,0.005711560428655341,0.005711466795012359,0.00675191896017416
2025-02-18 05:20:00+07:00,0.002,0.002102608945448173,-0.008085205045674537,-0.008600266211143792,-0.008573938925382983,-0.0075071146182672166,-0.008531852915536662
2025-02-18 05:30:00+07:00,0.003,0.0018987484377578703,0.015031981239663463,0.015014870420376587,0.0160381476639776,0.01496994269789913,0.017520702719845967
