timestamp,solar_irradiance,solar_irradiance_forecast_sarimax_v2
2025-02-23 18:50:00+07:00,0.032,-10.817372385728072
2025-02-23 19:00:00+07:00,0.009,-2.239287554508387
2025-02-23 19:10:00+07:00,0.004,-2.231526121348779
2025-02-23 19:20:00+07:00,0.002,-2.2242795902841843
2025-02-23 19:30:00+07:00,0.002,-2.223304976187367
2025-02-23 19:40:00+07:00,0.001,-2.2171666608093688
2025-02-23 19:50:00+07:00,0.002,-2.211346385997503
2025-02-23 20:00:00+07:00,0.008,-0.3773419477731932
2025-02-23 20:10:00+07:00,0.008,-0.3795527105695688
2025-02-23 20:20:00+07:00,0.009,-0.3819044866648274
2025-02-23 20:30:00+07:00,0.009,-0.3832168411793213
2025-02-23 20:40:00+07:00,0.009,-0.3788181372366859
2025-02-23 20:50:00+07:00,0.009,-0.37395309250573
2025-02-23 21:00:00+07:00,0.007,-0.0566965446008386
2025-02-23 21:10:00+07:00,0.015,-0.0605090247257261
2025-02-23 21:20:00+07:00,0.008,-0.0634924841645864
2025-02-23 21:30:00+07:00,0.011,-0.0617938500238397
2025-02-23 21:40:00+07:00,0.011,-0.0642784269117588
2025-02-23 21:50:00+07:00,0.008,-0.0635997787125888
2025-02-23 22:00:00+07:00,0.009,2.8416420838587798e-05
2025-02-23 22:10:00+07:00,0.009,0.0005497351567052
2025-02-23 22:20:00+07:00,0.006,0.0016597107308902
2025-02-23 22:30:00+07:00,0.011,0.0026856881767372
2025-02-23 22:40:00+07:00,0.009,0.0021507563194152
2025-02-23 22:50:00+07:00,0.012,0.0026563323455664
2025-02-23 23:00:00+07:00,0.008,0.0166691757927066
2025-02-23 23:10:00+07:00,0.003,0.0216666023194033
2025-02-23 23:20:00+07:00,0.007,0.0247946154478309
2025-02-23 23:30:00+07:00,0.006,0.0211174297922489
2025-02-23 23:40:00+07:00,0.008,0.0237042607432104
2025-02-23 23:50:00+07:00,0.004,0.0236375525912086
2025-02-24 00:00:00+07:00,0.009,-0.0012101602849724
2025-02-24 00:10:00+07:00,0.015,-0.0021529876090159
2025-02-24 00:20:00+07:00,0.011,-0.0047525066043027
2025-02-24 00:30:00+07:00,0.012,-0.0042618504602201
2025-02-24 00:40:00+07:00,0.01,-0.0047173397555212
2025-02-24 00:50:00+07:00,0.012,-0.0047364250791653
2025-02-24 01:00:00+07:00,0.014,0.0159431541318526
2025-02-24 01:10:00+07:00,0.012,0.017201373423088
2025-02-24 01:20:00+07:00,0.009,0.0187372093932656
2025-02-24 01:30:00+07:00,0.007,0.0187331033250193
2025-02-24 01:40:00+07:00,0.005,0.0186870650172666
2025-02-24 01:50:00+07:00,0.012,0.0171117784632946
2025-02-24 02:00:00+07:00,0.01,0.0183698630729133
2025-02-24 02:10:00+07:00,0.013,0.0176195762160601
2025-02-24 02:20:00+07:00,0.011,0.0165456234317691
2025-02-24 02:30:00+07:00,0.011,0.0180835163572484
2025-02-24 02:40:00+07:00,0.012,0.018591441078134
2025-02-24 02:50:00+07:00,0.017,0.0180483596082823
2025-02-24 03:00:00+07:00,0.014,0.0227693489876736
2025-02-24 03:10:00+07:00,0.008,0.0268476561952341
2025-02-24 03:20:00+07:00,0.011,0.0273459022216382
2025-02-24 03:30:00+07:00,0.012,0.0262310775791449
2025-02-24 03:40:00+07:00,0.01,0.0272602067304639
2025-02-24 03:50:00+07:00,0.006,0.0240854638467269
2025-02-24 04:00:00+07:00,0.004,0.0039095436548852
2025-02-24 04:10:00+07:00,0.005,0.0151676065705252
2025-02-24 04:20:00+07:00,0.005,0.0156543516710387
2025-02-24 04:30:00+07:00,0.008,0.0172024373185924
2025-02-24 04:40:00+07:00,0.011,0.0161387872079198
2025-02-24 04:50:00+07:00,0.012,0.0161156576942097
2025-02-24 05:00:00+07:00,0.01,0.0123567369234823
2025-02-24 05:10:00+07:00,0.003,0.0866998673973496
2025-02-24 05:20:00+07:00,0.005,0.0870620819793048
2025-02-24 05:30:00+07:00,0.006,0.0879438044188389
2025-02-24 05:40:00+07:00,0.006,0.0877747783958481
2025-02-24 05:50:00+07:00,0.006,0.0865655538154344
2025-02-24 06:00:00+07:00,0.006,0.0046472423977525
2025-02-24 06:10:00+07:00,0.004,0.4429268849315344
2025-02-24 06:20:00+07:00,0.022,0.443119250028223
2025-02-24 06:30:00+07:00,0.298,0.5071825322499991
2025-02-24 06:40:00+07:00,1.834,0.9814828498658972
2025-02-24 06:50:00+07:00,6.448,2.071509560454125
2025-02-24 07:00:00+07:00,9.514,9.14773063670265
2025-02-24 07:10:00+07:00,14.002,11.348437167082716
2025-02-24 07:20:00+07:00,13.106,10.480566455074962
2025-02-24 07:30:00+07:00,15.976,11.46872643174169
2025-02-24 07:40:00+07:00,33.772,12.440117374172951
2025-02-24 07:50:00+07:00,45.788,15.335598186799176
2025-02-24 08:00:00+07:00,61.813,47.36713028427982
2025-02-24 08:10:00+07:00,53.664,67.83233761869097
2025-02-24 08:20:00+07:00,109.529,73.03759538502557
2025-02-24 08:30:00+07:00,245.489,73.85919655329829
2025-02-24 08:40:00+07:00,266.363,95.7592170389402
2025-02-24 08:50:00+07:00,274.913,92.6210592377226
2025-02-24 09:00:00+07:00,222.152,304.6009652418756
2025-02-24 09:10:00+07:00,234.899,411.98191347753817
2025-02-24 09:20:00+07:00,302.576,542.707434911682
2025-02-24 09:30:00+07:00,249.707,508.45951926366
2025-02-24 09:40:00+07:00,347.48,590.5351670441729
2025-02-24 09:50:00+07:00,252.767,585.252926205957
2025-02-24 10:00:00+07:00,308.444,102.83445988223608
2025-02-24 10:10:00+07:00,458.308,51.70362367892663
2025-02-24 10:20:00+07:00,624.782,27.14642130113033
2025-02-24 10:30:00+07:00,619.487,104.09313257308828
2025-02-24 10:40:00+07:00,603.442,112.83029685417485
2025-02-24 10:50:00+07:00,548.286,116.02564527917244
2025-02-24 11:00:00+07:00,543.708,460.0222701827552
2025-02-24 11:10:00+07:00,481.717,465.3435173665789
2025-02-24 11:20:00+07:00,665.272,471.5258169580725
2025-02-24 11:30:00+07:00,614.371,475.73218873152126
2025-02-24 11:40:00+07:00,400.134,480.76507584804193
2025-02-24 11:50:00+07:00,329.84,480.3566489984605
2025-02-24 12:00:00+07:00,421.523,290.7720085796089
2025-02-24 12:10:00+07:00,470.316,294.1681540253988
2025-02-24 12:20:00+07:00,696.627,292.49217592878864
2025-02-24 12:30:00+07:00,706.433,293.3305028845678
2025-02-24 12:40:00+07:00,635.799,296.2103285830651
2025-02-24 12:50:00+07:00,621.025,288.5990238436232
2025-02-24 13:00:00+07:00,761.941,572.6357808636325
2025-02-24 13:10:00+07:00,654.022,575.8088533406325
2025-02-24 13:20:00+07:00,758.863,572.0582658674691
2025-02-24 13:30:00+07:00,756.752,563.9472117115167
2025-02-24 13:40:00+07:00,721.713,564.9736292640994
2025-02-24 13:50:00+07:00,407.906,563.2156116422237
2025-02-24 14:00:00+07:00,727.216,104.43180301073755
2025-02-24 14:10:00+07:00,515.891,98.0007520105938
2025-02-24 14:20:00+07:00,608.223,81.10203903793173
2025-02-24 14:30:00+07:00,528.365,66.02748490997466
2025-02-24 14:40:00+07:00,546.043,83.90400403593614
2025-02-24 14:50:00+07:00,531.446,53.39733748696449
2025-02-24 15:00:00+07:00,382.768,293.5518534479887
2025-02-24 15:10:00+07:00,351.782,253.1313944537614
2025-02-24 15:20:00+07:00,424.86,220.11187064023815
2025-02-24 15:30:00+07:00,387.531,249.9079471727409
2025-02-24 15:40:00+07:00,262.035,234.153616761395
2025-02-24 15:50:00+07:00,282.9,208.16178601323452
2025-02-24 16:00:00+07:00,323.864,307.5867436367595
2025-02-24 16:10:00+07:00,231.417,320.2059717144911
2025-02-24 16:20:00+07:00,254.153,313.32627594168457
2025-02-24 16:30:00+07:00,249.221,279.4307790814279
2025-02-24 16:40:00+07:00,175.313,275.7581349240575
2025-02-24 16:50:00+07:00,147.49,276.8246626799508
2025-02-24 17:00:00+07:00,120.528,135.32442983909047
2025-02-24 17:10:00+07:00,117.658,134.7926834462829
2025-02-24 17:20:00+07:00,100.667,132.7937582453923
2025-02-24 17:30:00+07:00,77.388,130.57415842129967
2025-02-24 17:40:00+07:00,27.28,125.38526264628923
2025-02-24 17:50:00+07:00,9.949,116.79452223642872
2025-02-24 18:00:00+07:00,5.841,22.342042713347745
2025-02-24 18:10:00+07:00,4.125,22.64364368374389
2025-02-24 18:20:00+07:00,1.915,21.41601258550611
2025-02-24 18:30:00+07:00,0.482,18.499306809121517
2025-02-24 18:40:00+07:00,0.068,17.615169062928057
2025-02-24 18:50:00+07:00,0.031,17.531320353955266
2025-02-24 19:00:00+07:00,0.017,2.738968174088663
2025-02-24 19:10:00+07:00,0.028,2.7330844221197337
2025-02-24 19:20:00+07:00,0.025,2.7269390969139096
2025-02-24 19:30:00+07:00,0.022,2.721969246632049
2025-02-24 19:40:00+07:00,0.022,2.7163836125084497
2025-02-24 19:50:00+07:00,0.021,2.711858244496014
2025-02-24 20:00:00+07:00,0.027,0.4828497925605818
2025-02-24 20:10:00+07:00,0.014,0.4809167944742533
2025-02-24 20:20:00+07:00,0.005,0.4806196868410212
2025-02-24 20:30:00+07:00,0.006,0.4797828307336359
2025-02-24 20:40:00+07:00,0.002,0.478832028828117
2025-02-24 20:50:00+07:00,0.003,0.4778724147036661
2025-02-24 21:00:00+07:00,0.003,0.0832158637435395
